slot,phase,layer,turns,direction,wire,strands
1,U,1,1,in,3.15mm,3
1,U,2,1,out,3.15mm,3
2,V,1,1,out,3.15mm,3
2,V,2,1,in,3.15mm,3
3,W,1,1,in,3.15mm,3
3,W,2,1,out,3.15mm,3
4,U,1,1,out,3.15mm,3
4,U,2,1,in,3.15mm,3
5,V,1,1,in,3.15mm,3
5,V,2,1,out,3.15mm,3
6,W,1,1,out,3.15mm,3
6,W,2,1,in,3.15mm,3
7,U,1,1,in,3.15mm,3
7,U,2,1,out,3.15mm,3
8,V,1,1,out,3.15mm,3
8,V,2,1,in,3.15mm,3
9,W,1,1,in,3.15mm,3
9,W,2,1,out,3.15mm,3
10,U,1,1,out,3.15mm,3
10,U,2,1,in,3.15mm,3
11,V,1,1,in,3.15mm,3
11,V,2,1,out,3.15mm,3
12,W,1,1,out,3.15mm,3
12,W,2,1,in,3.15mm,3
13,U,1,1,in,3.15mm,3
13,U,2,1,out,3.15mm,3
14,V,1,1,out,3.15mm,3
14,V,2,1,in,3.15mm,3
15,W,1,1,in,3.15mm,3
15,W,2,1,out,3.15mm,3
16,U,1,1,out,3.15mm,3
16,U,2,1,in,3.15mm,3
17,V,1,1,in,3.15mm,3
17,V,2,1,out,3.15mm,3
18,W,1,1,out,3.15mm,3
18,W,2,1,in,3.15mm,3
19,U,1,1,in,3.15mm,3
19,U,2,1,out,3.15mm,3
20,V,1,1,out,3.15mm,3
20,V,2,1,in,3.15mm,3
21,W,1,1,in,3.15mm,3
21,W,2,1,out,3.15mm,3
22,U,1,1,out,3.15mm,3
22,U,2,1,in,3.15mm,3
23,V,1,1,in,3.15mm,3
23,V,2,1,out,3.15mm,3
24,W,1,1,out,3.15mm,3
24,W,2,1,in,3.15mm,3
